Program,Site Name,Additional ID,Physical Type,Legal Status,Legal Status Date,Physical Site Status,RN,County,Region,Phys Addr Line 1,Phys Addr Line 2,Phys Addr City,Phys Addr State,Phys Addr Zip,Phys Addr Zip+4,Near Phys Loc Txt,Near Phys Loc City,Near Phys Loc State,Near Phys Loc Zip,Latitude,Longitude
MSW,CITY OF TULIA MUNICIPAL SOLID WASTE LANDFILL,1009A,1 AE & 4 AE,ISSUED, 02/15/2001,ACTIVE,RN102335312,SWISHER,REGION 01 - AMARILLO,,,,,,,APPROX 1.84 MI E OF INTX OF FM R 1318 AND FM 146 IN SWISHER COUNTY,TULIA,TX,     ,34.54,-101.72
MSW,CITY OF DALHART LANDFILL,1038A,1 AE & 4 AE,ISSUED, 02/27/2013,ACTIVE,RN102121381,DALLAM,REGION 01 - AMARILLO,,,,,,,3 MILES NW OF US HIGHWAY 87 AND FM  1727  SW OF FORT WORTH DENVER RAILROAD 3.9 MILES NW OF DALHART,DALHART,TX,79022,36.11,-102.59
MSW,CITY OF PANHANDLE MUNICIPAL SOLID WASTE LANDFILL,1164,1AE,ISSUED, 04/02/1984,ACTIVE,RN101503621,CARSON,REGION 01 - AMARILLO,,,,,,,2.25 MILES W OF STATE HIGHWAY 207  2.25 MILES S OF US HIGHWAY 60 SW OF PANHANDLE CITY LIMITS IN CARSON COUNTY,PANHANDLE,TX,     ,35.29,-101.43
MSW,SOUTHWEST LANDFILL TX LP,1663C,1,ISSUED, 02/20/2020,ACTIVE,RN102064151,RANDALL,REGION 01 - AMARILLO,20700 HELIUM RD, ,CANYON,TX,79015,5651, ,CANYON,TX,79015,35.00,-101.96
MSW,CITY OF BOOKER LANDFILL,1943,1AE,ISSUED, 12/09/1993,ACTIVE,RN101478121,LIPSCOMB,REGION 01 - AMARILLO,,,,,,,2.6 MILE NNE OF INTERSECTION FM 23 AND STATE HIGHWAY 15 IN BOOKER,BOOKER,TX,79005,36.49,-100.52
MSW,CITY OF BOOKER LANDFILL,1943A,1AE,PENDING, 12/31/2024,ACTIVE,RN101478121,LIPSCOMB,REGION 01 - AMARILLO,,,,,,,2.6 MILE NNE OF INTERSECTION FM 23 AND STATE HIGHWAY 15 IN BOOKER,BOOKER,TX,79005,36.49,-100.52
MSW,CITY OF DUMAS MUNICIPAL SOLID WASTE MANAGEMENT FACILITY,211B,1,ISSUED, 04/26/2002,INACTIVE,RN101667053,MOORE,REGION 01 - AMARILLO,1900 S MADDOX, ,DUMAS,TX,79029,    ,.75 MILE SE OF CITY OF DUMAS ABOUT .5 MILES SE OF THE INTERSECTION OF US HIGHWAY 87AND US HIGHWAY 287 AND NINETEENTH STREET IN MOORE COUNTY,DUMAS,TX,79029,35.84,-101.96
MSW,CITY OF HEREFORD MUNICIPAL SOLID WASTE LANDFILL,215A,4AE,ISSUED, 05/06/1994,ACTIVE,RN102001070,DEAF SMITH,REGION 01 - AMARILLO,3800 N PROGRESSIVE RD, ,HEREFORD,TX,79045,7276,NE OF CITY 0.8 MILES N OF US HIGHWAY 60 ON E SIDE OF PROGRESSIVE ROAD,HEREFORD,TX,79045,34.84,-102.37
MSW,CITY OF PAMPA LANDFILL,2238,1,ISSUED, 12/29/1995,ACTIVE,RN100211416,GRAY,REGION 01 - AMARILLO,,,,,,,LOCATED NORTHEAST OF THE CITY OF PAMPA ON LOOP 171 APPROXIMATELY 3 MILES NORTH OF THE INTERSECTION OF US HWY 60 AND LOOP 171,PAMPA,TX,79066,35.58,-100.93
MSW,CITY OF CHILDRESS MUNICIPAL SOLID WASTE LANDFILL,2263,1 AE & 4 AE,ISSUED, 12/12/1997,ACTIVE,RN102328101,CHILDRESS,REGION 01 - AMARILLO,,,,,,,200 FT SE OF US HWY 287 ACROSS RR TRACK  APPROX 2 MI SE OF CHILDRESS IN CHILDRESS COUNTY,CHILDRESS,TX,79201,34.41,-100.16
MSW,CITY OF MEMPHIS LANDFILL,2266,1AE,ISSUED, 12/03/1997,ACTIVE,RN102118957,HALL,REGION 01 - AMARILLO,,,,,,,APPROXIMATELY  5500 FEET SSE OF CITY OF MEMPHIS  1.3 MILES SOUTH OF INTERSECTION OF STATE HIGHWAY 287 AND FM 256,MEMPHIS,TX,     ,34.70,-100.52
MSW,CITY OF DUMAS LANDFILL,2279,1,ISSUED, 09/21/2000,ACTIVE,RN102335627,MOORE,REGION 01 - AMARILLO,,,,,,,13 MI E OF DUMAS & 1.5 MI N OF SH 152 IN MOORE COUNTY,DUMAS,TX,79029,35.87,-101.74
MSW,CITY OF SHAMROCK MUNICIPAL LANDFILL,2281A,1 AE & 4 AE,ISSUED, 05/13/2021,ACTIVE,RN101507325,WHEELER,REGION 01 - AMARILLO,,,,,,,ABOUT 1.5 MI NW OF CITY LIMITS OF SHAMROCK IN WHEELER COUNTY,SHAMROCK,TX,79079,35.25,-100.27
MSW,CITY OF DUMAS LANDFILL,2285,4AE,ISSUED, 01/25/2000,ACTIVE,RN102211562,MOORE,REGION 01 - AMARILLO,,,,,,,APPROX .25  MI E OF DUMAS AT INTX OF MADDOX ST & 19TH ST ON S SIDE OF 19TH ST DUMAS TX IN MOORE COUNTY,DUMAS,TX,79029,35.84,-101.89
MSW,CITY OF SPEARMAN MUNICIPAL SOLID WASTE LANDFILL,2352,1AE,ISSUED, 04/19/2007,ACTIVE,RN102754496,HANSFORD,REGION 01 - AMARILLO,,,,,,,.6 MI W OF FM HWY 760  .8 MI N SH 207 IN HANSFORD COUNTY,SPEARMAN,TX,79081,36.21,-101.21
MSW,CITY OF MCLEAN LANDFILL,2414,1 AE & 4 AE,ISSUED, 04/11/2024,ACTIVE,RN111531521,GRAY,REGION 01 - AMARILLO,,,,,,,1.75 MILES E OF THE CITY LIMITS OF MCLEAN N OF INTERSTATE HIGHWAY 40 FRONTAGE ROAD 1 MILE W OF COUNTY LINE RD 79057 IN GRAY COUNTY TX 79057,MCLEAN,TX,79057,35.23,-100.56
MSW,HIGH PLAINS WASTE WATER DISPOSAL,2418,5GG,ISSUED, 08/13/2024,NOT CONSTRUCTED,RN111713095,RANDALL,REGION 01 - AMARILLO,500 W MCAFEE, ,AMARILLO,TX,79118,    , ,AMARILLO,TX,79118,0.00,0.00
MSW,AMTEX LIQUID WASTE PROCESSING,2424,5GG,PENDING, 02/03/2025,NOT CONSTRUCTED,RN112134879,POTTER,REGION 01 - AMARILLO,,,,,,, 913 SE 28TH AVE AMARILLO TX 79103,AMARILLO,TX,79103,35.18,-101.83
